"Day","Hour","Temperature","KWh_Class"
"12/21/2014",20,33.98,"Optimal"
"12/21/2014",21,33.98,"Optimal"
"12/21/2014",22,33.98,"Optimal"
"12/21/2014",23,33.98,"Optimal"
"12/22/2014",0,33.08,"Optimal"
"12/22/2014",1,33.08,"Optimal"
"12/22/2014",2,33.08,"Optimal"
"12/22/2014",3,33.08,"Optimal"
"12/22/2014",4,33.08,"Optimal"
"12/22/2014",5,33.08,"Optimal"
"12/22/2014",6,33.56,"Optimal"
"12/22/2014",7,33.98,"Above_Normal"
"12/22/2014",8,35.06,"Above_Normal"
"12/22/2014",9,37.94,"Above_Normal"
"12/22/2014",10,39.92,"Above_Normal"
"12/22/2014",11,42.08,"Above_Normal"
"12/22/2014",12,44.06,"Above_Normal"
"12/22/2014",13,43.46,"Above_Normal"
"12/22/2014",14,42.44,"Above_Normal"
"12/22/2014",15,41.9,"Above_Normal"
"12/22/2014",16,41,"Above_Normal"
"12/22/2014",17,41,"Above_Normal"
"12/22/2014",18,40.1,"Above_Normal"
"12/22/2014",19,42.56,"Above_Normal"
"12/22/2014",20,41,"Optimal"
"12/22/2014",21,42.08,"Optimal"
"12/22/2014",22,42.08,"Optimal"
"12/22/2014",23,42.08,"Optimal"
"12/23/2014",0,42.89,"Optimal"
"12/23/2014",1,42.89,"Optimal"
"12/23/2014",2,42.86,"Optimal"
"12/23/2014",3,42.86,"Optimal"
"12/23/2014",4,43.43,"Optimal"
"12/23/2014",5,42.98,"Optimal"
"12/23/2014",6,42.845,"Optimal"
"12/23/2014",7,44.06,"Above_Normal"
"12/23/2014",8,44.06,"Above_Normal"
"12/23/2014",9,44.96,"Above_Normal"
"12/23/2014",10,44.06,"Above_Normal"
"12/23/2014",11,44.96,"Above_Normal"
"12/23/2014",12,44.96,"Above_Normal"
"12/23/2014",13,44.72,"Above_Normal"
"12/23/2014",14,44.96,"Above_Normal"
"12/23/2014",15,44.96,"Above_Normal"
"12/23/2014",16,45.68,"Above_Normal"
"12/23/2014",17,46.04,"Above_Normal"
"12/23/2014",18,46.04,"Above_Normal"
"12/23/2014",19,46.04,"Above_Normal"
"12/23/2014",20,46.04,"Optimal"
"12/23/2014",21,42.98,"Optimal"
"12/23/2014",22,42.98,"Optimal"
"12/23/2014",23,42.08,"Optimal"
"12/24/2014",0,42.08,"Optimal"
"12/24/2014",1,42.08,"Optimal"
"12/24/2014",2,42.08,"Optimal"
"12/24/2014",3,42.08,"Optimal"
"12/24/2014",4,41,"Optimal"
"12/24/2014",5,41,"Optimal"
"12/24/2014",6,41,"Optimal"
"12/24/2014",7,42.08,"Above_Normal"
"12/24/2014",8,42.08,"Above_Normal"
"12/24/2014",9,42.98,"Above_Normal"
"12/24/2014",10,44.96,"Above_Normal"
"12/24/2014",11,44.96,"Above_Normal"
"12/24/2014",12,44.96,"Above_Normal"
"12/24/2014",13,44.96,"Above_Normal"
"12/24/2014",14,44.96,"Above_Normal"
"12/24/2014",15,44.96,"Above_Normal"
"12/24/2014",16,46.04,"Above_Normal"
"12/24/2014",17,44.78,"Above_Normal"
"12/24/2014",18,46.22,"Above_Normal"
"12/24/2014",19,46.04,"Above_Normal"
"12/24/2014",20,44.78,"Optimal"
"12/24/2014",21,44.78,"Optimal"
"12/24/2014",22,46.04,"Optimal"
"12/24/2014",23,44.96,"Optimal"
"12/25/2014",0,44.78,"Optimal"
"12/25/2014",1,44.72,"Optimal"
"12/25/2014",2,46.94,"Optimal"
"12/25/2014",3,57.92,"Optimal"
"12/25/2014",4,58.46,"Optimal"
"12/25/2014",5,57.56,"Optimal"
"12/25/2014",6,57.56,"Optimal"
"12/25/2014",7,55.67,"Above_Normal"
"12/25/2014",8,57.02,"Above_Normal"
"12/25/2014",9,53.96,"Above_Normal"
"12/25/2014",10,51.98,"Above_Normal"
"12/25/2014",11,50,"Above_Normal"
"12/25/2014",12,51.08,"Above_Normal"
"12/25/2014",13,51.08,"Above_Normal"
"12/25/2014",14,50,"Above_Normal"
"12/25/2014",15,48.02,"Above_Normal"
"12/25/2014",16,46.94,"Above_Normal"
"12/25/2014",17,46.94,"Above_Normal"
"12/25/2014",18,46.94,"Above_Normal"
"12/25/2014",19,46.04,"Above_Normal"
"12/25/2014",20,46.04,"Optimal"
"12/25/2014",21,44.96,"Optimal"
"12/25/2014",22,44.96,"Optimal"
"12/25/2014",23,44.06,"Optimal"
"12/26/2014",0,42.98,"Optimal"
"12/26/2014",1,42.08,"Optimal"
"12/26/2014",2,42.08,"Optimal"
"12/26/2014",3,39.92,"Optimal"
"12/26/2014",4,41,"Optimal"
"12/26/2014",5,37.94,"Optimal"
"12/26/2014",6,37.94,"Optimal"
"12/26/2014",7,39.02,"Above_Normal"
"12/26/2014",8,42.98,"Above_Normal"
"12/26/2014",9,44.96,"Above_Normal"
"12/26/2014",10,46.04,"Above_Normal"
"12/26/2014",11,46.94,"Above_Normal"
"12/26/2014",12,48.02,"Above_Normal"
"12/26/2014",13,48.92,"Above_Normal"
"12/26/2014",14,48.92,"Above_Normal"
"12/26/2014",15,48.02,"Above_Normal"
"12/26/2014",16,48.02,"Above_Normal"
"12/26/2014",17,46.04,"Above_Normal"
"12/26/2014",18,44.96,"Above_Normal"
"12/26/2014",19,44.06,"Above_Normal"
"12/26/2014",20,42.98,"Optimal"
"12/26/2014",21,42.98,"Optimal"
"12/26/2014",22,42.08,"Optimal"
"12/26/2014",23,41,"Optimal"
"12/27/2014",0,39.92,"Optimal"
"12/27/2014",1,39.92,"Optimal"
"12/27/2014",2,41,"Optimal"
"12/27/2014",3,41,"Optimal"
"12/27/2014",4,39.92,"Optimal"
"12/27/2014",5,41,"Optimal"
"12/27/2014",6,39.92,"Optimal"
"12/27/2014",7,41,"Above_Normal"
"12/27/2014",8,42.98,"Above_Normal"
"12/27/2014",9,44.96,"Above_Normal"
"12/27/2014",10,48.02,"Above_Normal"
"12/27/2014",11,50,"Above_Normal"
